Artist,Listeners,Daily Trend,Peak,PkListeners
The Weeknd,"10,75,92,328","-1,38,880",1,"11,30,34,886"
Taylor Swift,"10,10,03,302",889,2,"10,10,03,302"
Ed Sheeran,"7,64,75,126","-68,137",2,"8,79,34,910"
Dua Lipa,"7,64,21,916","-71,356",4,"7,77,78,397"
Bad Bunny,"7,61,62,057","-1,99,052",3,"8,39,50,570"
Rihanna,"7,57,84,389","1,16,405",2,"8,09,58,750"
Drake,"7,53,71,611","-67,013",6,"7,63,91,086"
Justin Bieber,"7,26,23,228","34,540",6,"7,54,67,229"
Billie Eilish,"7,17,93,820","-72,877",8,"7,23,68,528"
Miley Cyrus,"7,12,77,599","71,089",2,"8,41,40,935"
David Guetta,"7,08,38,823","-97,589",4,"7,51,63,500"
Travis Scott,"6,71,61,542","-3,62,718",6,"7,54,22,869"
Ariana Grande,"6,65,01,219","26,682",3,"8,29,81,758"
Coldplay,"6,57,09,359","-24,710",12,"6,98,14,134"
Calvin Harris,"6,50,35,055","32,662",13,"6,73,42,768"
Shakira,"6,43,72,012","-1,30,204",3,"8,22,68,835"
Eminem,"6,40,22,485","-52,362",11,"6,85,91,390"
Post Malone,"6,39,14,311","-55,144",13,"6,70,66,636"
Bruno Mars,"6,38,67,677","2,46,177",17,"6,38,67,677"
Doja Cat,"6,36,25,260","7,16,207",20,"6,36,25,260"
Nicki Minaj,"6,27,42,304","-1,99,822",18,"6,56,80,733"
SZA,"6,17,78,853","-1,645",9,"6,99,32,543"
Harry Styles,"5,95,60,609","-1,31,842",13,"6,64,11,599"
Olivia Rodrigo,"5,87,63,998","7,32,723",24,"5,87,63,998"
Imagine Dragons,"5,86,75,255","1,39,463",18,"6,16,24,656"
Kanye West,"5,80,60,520","91,184",24,"5,80,60,520"
Maroon 5,"5,71,36,964","-16,983",21,"5,87,93,104"
Marshmello,"5,71,14,865","1,25,302",21,"5,83,46,399"
KAROL G,"5,67,87,835","-42,758",21,"5,91,43,777"
Lana Del Rey,"5,67,10,801","-29,886",27,"5,67,40,687"
Sam Smith,"5,60,01,427","3,604",7,"7,39,72,799"
21 Savage,"5,59,01,908","86,564",19,"6,13,19,583"
Selena Gomez,"5,53,09,116","2,08,288",22,"5,88,79,269"
Daddy Yankee,"5,41,74,801","-95,548",22,"5,80,98,739"
Lady Gaga,"5,27,65,199","-1,753",22,"5,77,30,508"
Metro Boomin,"5,22,07,822","-97,261",17,"6,29,11,430"
Future,"5,20,74,976","-1,48,160",22,"5,83,60,653"
Khalid,"5,19,57,671","-57,019",28,"5,41,86,217"
J Balvin,"5,15,90,178","-73,978",29,"5,47,92,335"
BeyoncÃ©,"5,14,42,770","-1,22,792",26,"5,55,63,018"
Adele,"5,13,80,385","57,407",31,"5,39,02,159"
Katy Perry,"5,11,48,181","51,119",29,"5,39,98,988"
Peso Pluma,"5,02,47,712","71,053",33,"5,38,77,990"
Elton John,"4,83,43,456","43,055",40,"5,03,62,330"
Queen,"4,75,86,054","93,668",45,"4,85,73,860"
Chris Brown,"4,74,50,314","-25,474",25,"5,43,90,450"
Kendrick Lamar,"4,73,91,930","-8,503",33,"5,40,45,549"
OneRepublic,"4,73,84,563","-1,04,857",39,"5,00,35,577"
Myke Towers,"4,70,28,831","-27,706",49,"4,72,35,005"
Rauw Alejandro,"4,65,59,302","-1,00,409",34,"5,21,31,934"
Ozuna,"4,58,79,131","-1,06,370",40,"5,15,32,028"
Arctic Monkeys,"4,57,90,038","1,24,615",52,"4,57,90,038"
Sia,"4,57,28,333","-29,481",43,"4,78,68,578"
Shawn Mendes,"4,43,10,129","-12,741",45,"4,69,17,936"
Bebe Rexha,"4,39,99,789","-1,426",37,"4,94,96,274"
TiÃ«sto,"4,32,84,312","-2,43,951",44,"4,60,94,072"
Halsey,"4,25,32,070","1,172",48,"4,59,39,636"
Bizarrap,"4,22,59,038","-1,50,381",28,"5,43,00,662"
Charlie Puth,"4,15,37,987","-17,338",58,"4,26,03,508"
Ice Spice,"4,13,30,265","-3,68,853",49,"4,72,03,544"
J. Cole,"4,10,53,576","-4,941",56,"4,45,49,954"
Ellie Goulding,"4,09,58,180","-74,640",51,"4,56,26,754"
Anne-Marie,"4,03,59,289","-67,430",61,"4,15,01,481"
Madonna,"4,01,70,466","-70,403",60,"4,26,30,784"
Black Eyed Peas,"3,97,59,009","-4,973",57,"4,11,90,019"
Feid,"3,93,09,942","-23,179",61,"4,09,00,736"
Maluma,"3,90,49,409","-55,109",67,"3,91,04,518"
Camila Cabello,"3,90,36,838","-25,627",57,"4,08,28,152"
Swae Lee,"3,88,10,802","-23,101",51,"4,74,31,521"
Arijit Singh,"3,86,90,595","1,47,172",70,"3,86,90,595"
One Direction,"3,85,36,749","-40,048",58,"4,16,14,431"
James Arthur,"3,82,65,678","-77,643",71,"3,84,58,175"
Farruko,"3,78,32,243","-46,192",64,"3,94,98,431"
Quevedo,"3,76,71,317","-44,364",72,"3,81,82,790"
Playboi Carti,"3,75,95,035","34,209",71,"3,87,20,453"
The Chainsmokers,"3,71,13,564","1,41,989",69,"3,92,75,751"
Pitbull,"3,70,73,791","56,974",74,"3,76,27,528"
Gunna,"3,68,60,616","1,01,699",78,"3,68,60,616"
Michael Jackson,"3,66,34,625","65,824",68,"3,73,13,351"
Avicii,"3,61,81,200","1,280",69,"3,68,86,926"
Kali Uchis,"3,61,63,829","-1,78,999",80,"3,63,42,828"
JAY-Z,"3,61,23,827","-12,340",66,"3,71,46,089"
Latto,"3,58,30,709","88,151",74,"3,80,62,951"
XXXTENTACION,"3,57,00,316","87,724",67,"3,69,58,905"
Manuel Turizo,"3,54,01,805","41,489",66,"3,81,86,155"
Grupo Frontera,"3,53,84,989","-45,669",64,"3,92,34,817"
Lil Wayne,"3,52,98,366","3,295",70,"3,88,62,257"
ROSALÃA,"3,52,54,223","-1,74,433",47,"4,67,15,627"
Pritam,"3,48,13,108","32,214",85,"3,54,30,435"
Lil Uzi Vert,"3,47,76,681","-1,28,643",67,"3,95,80,515"
Aqua,"3,46,09,662","-4,40,555",61,"4,18,19,994"
Sean Paul,"3,44,52,073","-20,780",66,"3,89,75,847"
Linkin Park,"3,42,85,668","36,104",69,"3,58,52,548"
P!nk,"3,41,11,856","-50,380",68,"3,69,11,512"
Diplo,"3,36,18,734","-27,859",95,"3,45,87,996"
Britney Spears,"3,34,61,012","12,637",92,"3,45,25,279"
Jhayco,"3,34,34,552","1,73,087",97,"3,34,34,552"
Shreya Ghoshal,"3,33,91,480","56,078",98,"3,33,91,480"
BTS,"3,33,70,323","-53,412",63,"4,07,41,916"
Justin Timberlake,"3,32,00,525","1,45,644",100,"3,32,00,525"
Fleetwood Mac,"3,31,30,490","1,05,830",100,"3,31,30,490"
Jung Kook,"3,31,29,942","14,876",85,"3,55,78,104"
Don Omar,"3,30,56,866","30,248",89,"3,48,97,391"
Central Cee,"3,29,87,690","-33,056",89,"3,51,54,343"
Anuel AA,"3,28,93,376","-3,750",83,"3,52,86,500"
Jason Derulo,"3,28,45,537","53,726",87,"3,40,68,587"
DJ Snake,"3,27,23,484","7,204",96,"3,35,70,740"
Ava Max,"3,26,57,739","-68,611",95,"3,46,46,542"
Becky G,"3,26,49,815","-40,107",78,"3,65,14,621"
Rema,"3,25,65,695","-1,07,997",60,"4,00,10,586"
The Neighbourhood,"3,20,68,086","69,395",91,"3,23,20,916"
Lewis Capaldi,"3,20,40,638","-22,462",66,"3,72,36,967"
A.R. Rahman,"3,17,69,038","36,272",111,"3,20,74,308"
The Kid LAROI,"3,17,00,200","-1,29,742",50,"4,41,14,355"
Cardi B,"3,14,01,409","6,17,636",98,"3,17,08,178"
50 Cent,"3,12,89,781",-731,93,"3,23,32,190"
Young Thug,"3,11,13,135","-44,063",97,"3,36,56,406"
Coi Leray,"3,11,04,332","-17,970",72,"3,84,79,080"
Demi Lovato,"3,10,83,651","1,42,413",102,"3,10,83,651"
Alan Walker,"3,10,13,358","-48,174",100,"3,32,18,914"
Pharrell Williams,"3,09,39,195","-60,901",102,"3,30,39,602"
Wiz Khalifa,"3,07,68,961","-37,240",103,"3,18,67,476"
Lil Baby,"3,06,24,100","-1,22,191",100,"3,17,86,556"
Snoop Dogg,"3,02,63,549","-59,762",109,"3,14,29,177"
Macklemore,"3,02,61,973","48,215",125,"3,06,26,076"
Red Hot Chili Peppers,"3,01,85,947","1,249",122,"3,06,82,414"
Juice WRLD,"3,01,65,389","-54,308",94,"3,25,53,139"
The Beatles,"3,00,44,113","52,624",108,"3,16,96,352"
Green Day,"2,97,04,236","1,58,004",129,"2,97,04,236"
A$AP Rocky,"2,96,60,375","-23,433",100,"3,31,83,011"
"Tyler, The Creator","2,95,27,907","-26,626",86,"3,44,91,803"
DaBaby,"2,93,27,146","-34,517",103,"3,20,70,946"
Young Miko,"2,92,92,068","-15,141",133,"2,93,07,209"
Tainy,"2,91,80,506","-75,309",91,"3,52,33,699"
Lil Nas X,"2,91,58,630","-51,864",61,"3,75,97,256"
Labrinth,"2,90,13,808","27,513",67,"3,68,29,106"
Creedence Clearwater Revival,"2,89,42,817","90,137",137,"2,95,47,475"
Guns N' Roses,"2,88,49,559","32,997",135,"2,88,49,559"
Dave,"2,87,49,706","1,09,163",139,"2,87,49,706"
USHER,"2,85,31,394","1,180",134,"2,88,94,796"
AC/DC,"2,85,30,585","38,379",135,"2,91,32,903"
Kodak Black,"2,81,93,190","27,872",99,"3,37,08,388"
Chencho Corleone,"2,80,42,630","42,560",106,"3,10,51,924"
Sebastian Yatra,"2,80,39,329","6,030",137,"2,82,35,688"
Hozier,"2,80,00,162","65,879",105,"3,02,93,009"
RAYE,"2,79,13,578","3,00,641",70,"3,64,84,906"
Nirvana,"2,78,65,999","-13,961",132,"2,83,10,769"
Nicky Jam,"2,78,39,029","-19,928",128,"3,03,66,327"
Miguel,"2,78,35,809","-27,797",80,"3,41,44,669"
Frank Ocean,"2,77,75,072","48,033",150,"2,77,75,072"
ABBA,"2,77,56,518","6,112",141,"2,83,90,214"
Lil Durk,"2,76,88,791","-64,922",92,"3,47,73,282"
Flo Rida,"2,76,55,303","57,232",139,"2,81,52,627"
Troye Sivan,"2,73,24,893","90,666",140,"2,83,52,154"
Robin Schulz,"2,71,63,571","-24,072",76,"3,49,08,935"
Kygo,"2,70,98,941","-58,266",127,"2,94,36,685"
Bon Jovi,"2,67,47,426","43,119",157,"2,68,64,457"
Junior H,"2,67,14,363","53,153",142,"2,86,80,566"
Ty Dolla $ign,"2,66,75,835","-86,111",132,"2,93,89,940"
Calum Scott,"2,66,67,453","-1,960",131,"2,83,97,540"
Steve Lacy,"2,66,50,153","81,926",111,"2,97,65,204"
Jack Harlow,"2,66,20,407","-14,428",103,"3,21,98,313"
Eslabon Armado,"2,64,53,581","-1,25,276",64,"4,01,32,836"
Daniel Caesar,"2,62,69,701","7,187",158,"2,69,93,957"
Stephen Sanchez,"2,62,19,969","-73,423",82,"3,43,22,910"
Bee Gees,"2,62,03,297","1,15,012",166,"2,62,03,297"
The Police,"2,61,82,817","95,098",167,"2,61,82,817"
Meghan Trainor,"2,61,05,163","-6,434",69,"3,73,77,997"
Fall Out Boy,"2,60,34,639","-46,938",129,"3,03,77,374"
DJ Khaled,"2,60,22,795","-2,75,175",124,"2,78,62,957"
FIFTY FIFTY,"2,59,46,120","-1,41,191",70,"3,76,75,143"
Maria Becerra,"2,59,27,836","3,571",159,"2,69,19,900"
The Rolling Stones,"2,58,26,785","2,77,634",173,"2,58,26,785"
Morgan Wallen,"2,57,48,660","19,305",160,"2,65,88,086"
d4vd,"2,57,20,715","1,18,176",94,"3,18,36,766"
Twenty One Pilots,"2,56,91,096","51,544",157,"2,72,06,643"
Carin Leon,"2,56,09,771","63,252",177,"2,56,09,771"
Lost Frequencies,"2,54,66,808","65,302",175,"2,54,66,808"
NewJeans,"2,54,11,049","-30,073",160,"2,67,86,050"
Akon,"2,53,10,879","-1,02,563",157,"2,69,75,304"
David Kushner,"2,51,51,742","29,632",143,"2,79,28,294"
PinkPantheress,"2,51,51,265","20,568",60,"3,98,44,680"
Amitabh Bhattacharya,"2,50,62,547","-4,304",160,"2,69,65,104"
Metallica,"2,50,60,410","34,725",144,"2,68,70,829"
Sabrina Carpenter,"2,50,17,911","25,869",171,"2,50,17,911"
Mariah Carey,"2,49,89,476","64,194",161,"2,49,89,476"
Major Lazer,"2,49,84,663","35,475",186,"2,50,65,451"
Nelly Furtado,"2,49,62,665","1,98,953",188,"2,49,62,665"
JVKE,"2,48,50,437","-54,435",110,"3,16,84,143"
Tame Impala,"2,46,68,031","-37,664",162,"2,67,02,310"
Swedish House Mafia,"2,46,23,937","-27,743",187,"2,48,99,684"
Tyga,"2,46,04,130","2,401",176,"2,51,18,039"
Jonas Brothers,"2,45,09,669","-4,383",184,"2,52,78,372"
Alicia Keys,"2,44,18,967","27,693",169,"2,58,33,027"
Yng Lvcas,"2,43,40,556","-92,754",101,"3,24,31,402"
Tory Lanez,"2,43,39,532","6,694",196,"2,43,39,532"
ZAYN,"2,43,23,031","-32,418",171,"2,61,77,320"
Polo G,"2,43,10,207","10,356",170,"2,49,08,452"
BLACKPINK,"2,42,21,202","1,58,521",173,"2,51,16,235"
Yandel,"2,42,14,789","21,019",126,"2,78,75,326"
Kid Cudi,"2,41,84,963","-17,956",183,"2,50,14,740"
Duki,"2,41,81,175","-5,204",162,"2,64,92,455"
Mac Miller,"2,40,74,093","19,050",192,"2,43,28,100"
Radiohead,"2,40,14,999","21,738",177,"2,53,90,483"
Enrique Iglesias,"2,40,10,676","17,562",183,"2,48,75,119"
Pop Smoke,"2,39,85,199","48,708",162,"2,52,80,553"
Anirudh Ravichander,"2,39,76,058","2,87,519",207,"2,39,76,058"
Christina Aguilera,"2,38,17,447","-15,204",178,"2,44,06,255"
ArcÃ¡ngel,"2,37,98,577","-47,379",112,"2,99,18,189"
Glass Animals,"2,37,50,110","-28,407",132,"2,80,77,809"
Ryan Castro,"2,37,45,395","-24,467",210,"2,37,69,862"
Don Toliver,"2,37,41,853","-42,682",111,"2,95,69,041"
Alok,"2,36,87,842","1,03,442",179,"2,41,37,105"
Romeo Santos,"2,36,83,598","-17,193",113,"2,92,61,273"
Luke Combs,"2,36,65,095","-19,228",210,"2,37,78,371"
Peggy Gou,"2,34,75,593","32,145",215,"2,34,75,593"
Conan Gray,"2,34,50,283","29,920",182,"2,47,41,096"
Aerosmith,"2,33,77,764","50,806",201,"2,34,47,874"
Whitney Houston,"2,33,49,781","-20,803",186,"2,44,87,241"
Zara Larsson,"2,33,00,652","-45,597",166,"2,64,03,685"
Gorillaz,"2,32,90,331","-1,892",54,"4,19,77,704"
Tom Odell,"2,32,84,933","19,486",122,"2,83,65,299"
Charli XCX,"2,32,81,504","-6,317",205,"2,40,71,976"
Disney,"2,32,81,326","36,003",201,"2,40,54,234"
2Pac,"2,32,14,872","-3,094",189,"2,42,94,167"
Giveon,"2,31,76,661","-6,374",145,"2,52,91,400"
Joji,"2,31,23,178","25,722",116,"2,92,84,554"
Em Beihold,"2,30,42,309","3,517",135,"2,66,66,031"
R3HAB,"2,29,53,721","-18,387",210,"2,35,84,295"
Tate McRae,"2,28,52,503","-19,337",93,"3,20,13,045"
Fuerza Regida,"2,28,20,125","59,998",195,"2,43,40,375"
Panic! At The Disco,"2,28,06,854","-50,057",165,"2,62,82,167"
Dr. Dre,"2,28,06,583","-72,259",199,"2,32,39,378"
Jennifer Lopez,"2,28,00,360","-3,489",207,"2,35,02,805"
El Alfa,"2,26,52,171","62,033",235,"2,26,52,171"
Ne-Yo,"2,26,38,529","81,459",221,"2,26,38,529"
Childish Gambino,"2,26,36,743","29,034",205,"2,37,94,827"
Martin Garrix,"2,26,35,843","-36,999",175,"2,39,62,214"
Billy Joel,"2,25,67,417","-18,951",227,"2,28,58,255"
Vance Joy,"2,25,39,880","-38,722",188,"2,48,15,037"
Eladio Carrion,"2,25,34,665","-50,526",156,"2,67,38,598"
Trippie Redd,"2,25,27,269","-4,254",214,"2,25,31,523"
Mark Ronson,"2,25,09,775","31,881",189,"2,31,23,246"
Macklemore & Ryan Lewis,"2,24,94,608","50,050",242,"2,24,94,608"
Ryan Lewis,"2,24,51,715","49,105",244,"2,24,51,715"
The Lumineers,"2,24,47,688","1,37,341",246,"2,24,47,688"
Shilpa Rao,"2,24,15,004","2,08,695",247,"2,24,15,004"
Nicki Nicole,"2,24,04,339","-7,699",178,"2,44,00,549"
Mora,"2,23,54,623","1,99,866",245,"2,23,54,623"
Megan Thee Stallion,"2,22,76,169","7,43,072",163,"2,41,28,927"
Elley DuhÃ©,"2,22,42,502","-1,16,291",150,"2,55,86,962"
The Killers,"2,22,20,165","28,117",239,"2,22,20,165"
Kim Petras,"2,22,09,434","-1,39,638",43,"4,65,51,289"
Luis Fonsi,"2,21,26,853","11,623",214,"2,32,90,182"
MÃ¥neskin,"2,20,17,529","2,07,670",134,"2,68,18,201"
Vishal-Shekhar,"2,20,17,118","32,546",189,"2,46,26,006"
Sachin-Jigar,"2,18,82,944","-16,607",186,"2,47,55,766"
Skrillex,"2,17,76,916","-8,692",175,"2,36,35,431"
Paramore,"2,15,07,264","-58,644",251,"2,19,53,962"
MEDUZA,"2,14,52,812","5,775",222,"2,21,48,251"
Clean Bandit,"2,14,16,998","-2,520",210,"2,37,55,636"
Camilo,"2,13,55,225","61,671",249,"2,15,15,170"
The Notorious B.I.G.,"2,13,37,810","-47,083",202,"2,33,52,541"
Brent Faiyaz,"2,13,28,005","35,169",239,"2,23,07,149"
Felix Jaehn,"2,12,52,900","-25,613",194,"2,27,67,105"
Lizzo,"2,12,04,430","-1,14,528",105,"3,01,00,497"
Jonas Blue,"2,11,71,279","-51,081",226,"2,28,21,691"
John Legend,"2,11,56,371","3,135",156,"2,45,16,883"
Lorde,"2,11,35,977","61,379",262,"2,11,35,977"
Sech,"2,10,69,014","-44,016",174,"2,35,91,625"
Outkast,"2,10,54,876","12,509",266,"2,10,54,876"
Zach Bryan,"2,10,27,724","4,18,482",272,"2,10,27,724"
Summer Walker,"2,09,88,470","10,464",249,"2,14,47,325"
JID,"2,08,39,227","33,806",191,"2,45,89,102"
Wisin & Yandel,"2,08,30,791",781,173,"2,33,50,285"
Foo Fighters,"2,07,02,362","10,361",231,"2,26,30,908"
Phil Collins,"2,06,68,195","-24,979",267,"2,08,68,436"
Bastille,"2,06,12,768","28,204",264,"2,06,12,768"
Zion & Lennox,"2,05,79,547","-14,695",230,"2,21,69,487"
Roddy Ricch,"2,05,60,456","-1,82,007",205,"2,30,16,594"
Tanishk Bagchi,"2,05,41,786","28,494",214,"2,33,60,299"
Anitta,"2,04,78,580","-23,960",151,"2,47,47,002"
Eagles,"2,03,77,153",-384,270,"2,08,67,139"
Natanael Cano,"2,03,17,260","10,108",167,"2,56,27,596"
TOTO,"2,03,11,058","33,975",285,"2,03,11,058"
Offset,"2,02,66,550","-62,077",183,"2,49,69,472"
Plan B,"2,02,63,118","-7,975",272,"2,07,30,655"
NLE Choppa,"2,02,34,883","54,949",181,"2,49,91,591"
U2,"2,02,31,049","-19,546",233,"2,09,20,933"
Oasis,"2,02,01,900","-29,576",279,"2,03,41,409"
Lauv,"2,01,33,270","-39,928",275,"2,03,20,115"
Jubin Nautiyal,"2,01,22,460","55,910",241,"2,22,49,499"
KK,"2,00,82,172","20,758",292,"2,00,82,172"
Anderson .Paak,"2,00,64,181","20,224",197,"2,26,04,620"
Burna Boy,"2,00,59,135","49,004",295,"2,00,59,135"
Tears For Fears,"2,00,49,284","81,402",294,"2,00,49,284"
Udit Narayan,"2,00,17,880","2,316",282,"2,03,44,679"
Marvin Gaye,"1,99,99,932","1,06,656",298,"1,99,99,932"
Ruth B.,"1,99,93,155","-27,823",224,"2,21,01,563"
Daft Punk,"1,99,55,865","-24,170",225,"2,28,70,534"
Rels B,"1,99,27,938","48,750",299,"1,99,27,938"
Tiago PZK,"1,98,41,135","28,233",244,"2,22,53,606"
Chris Stapleton,"1,98,01,736","52,341",300,"1,98,01,736"
Christian Nodal,"1,97,64,453","-7,709",226,"2,09,98,189"
Bryan Adams,"1,97,53,710","15,688",269,"2,09,88,297"
5 Seconds of Summer,"1,97,47,371","45,837",252,"2,05,61,330"
Reik,"1,97,10,478","13,088",253,"2,03,65,963"
Darshan Raval,"1,97,09,477","59,579",306,"1,97,09,477"
Timbaland,"1,96,97,130","2,45,021",299,"1,96,97,130"
Bob Marley & The Wailers,"1,96,65,617","-50,125",278,"2,05,74,539"
Gabito Ballesteros,"1,96,37,756","60,036",270,"2,10,00,728"
Alesso,"1,95,57,582","27,769",259,"2,01,46,977"
Florence + The Machine,"1,95,52,706","15,445",275,"2,04,21,919"
PNAU,"1,95,04,177","-40,046",220,"2,23,23,897"
A Boogie Wit da Hoodie,"1,92,93,685","1,43,327",213,"2,28,82,543"
B.o.B,"1,92,63,068","-16,293",312,"1,92,79,361"
Grupo Firme,"1,90,86,940","-50,062",313,"1,92,31,331"
Stevie Wonder,"1,90,33,396","8,206",298,"1,91,52,891"
TINI,"1,90,22,854","-46,589",194,"2,29,06,402"
Alka Yagnik,"1,90,06,775","-10,308",287,"2,00,03,871"
Jay Wheeler,"1,89,77,419",-72,321,"1,89,77,491"
Nelly,"1,89,27,046",946,316,"1,89,34,660"
Kesha,"1,88,81,699","-8,253",275,"2,02,65,888"
Shankar Mahadevan,"1,88,56,947","-1,740",324,"1,88,58,687"
Big Sean,"1,88,42,322","3,740",252,"2,01,37,963"
Becky Hill,"1,88,30,073","-33,729",257,"2,00,58,164"
Julia Michaels,"1,88,26,294","-30,139",309,"1,90,31,718"
Pink Floyd,"1,87,91,532","42,817",258,"1,97,35,588"
Hotel Ugly,"1,87,36,585","49,078",329,"1,87,36,585"
The Offspring,"1,87,27,741","66,985",309,"1,89,74,256"
MC Kevin o Chris,"1,86,21,476","-15,142",317,"1,90,54,899"
Danny Ocean,"1,85,00,280","-30,000",270,"1,94,13,332"
Migos,"1,84,31,323","33,372",296,"1,92,31,013"
Led Zeppelin,"1,84,14,926","-29,609",294,"1,92,71,072"
Avril Lavigne,"1,83,35,483","-17,103",263,"2,03,77,425"
Juanes,"1,83,27,301","28,549",333,"1,83,27,301"
Journey,"1,82,82,249","-24,205",318,"1,88,20,358"
Vishal Mishra,"1,82,61,208","46,682",338,"1,82,61,208"
French Montana,"1,81,58,009","-12,886",313,"1,88,24,754"
Train,"1,81,42,889","-1,265",333,"1,82,33,868"
Doechii,"1,80,83,033","-40,733",334,"1,82,55,625"
Piso 21,"1,80,41,669","-52,384",317,"1,84,75,745"
Jonita Gandhi,"1,80,13,716","90,475",343,"1,80,13,716"
R.E.M.,"1,79,88,456","-17,031",332,"1,80,75,934"
Carly Rae Jepsen,"1,79,50,309","-72,844",317,"1,88,69,973"
Elvis Presley,"1,79,43,572","3,867",302,"1,82,50,177"
Oliver Tree,"1,79,18,599","-19,456",85,"3,39,95,315"
blink-182,"1,79,11,522",676,331,"1,83,20,916"
Cigarettes After Sex,"1,78,84,283","28,252",311,"1,78,84,283"
Alec Benjamin,"1,78,21,830","-1,021",251,"2,17,41,517"
"Earth, Wind & Fire","1,77,39,235","69,036",343,"1,78,14,587"
Kelly Clarkson,"1,77,36,733","44,476",312,"1,90,69,054"
League of Legends,"1,76,29,115","-1,472",266,"1,94,97,150"
Joel Corry,"1,76,08,419",237,301,"1,86,01,830"
Dire Straits,"1,75,83,132","-3,510",331,"1,77,60,775"
a-ha,"1,75,09,236","18,570",284,"1,98,41,837"
Shaggy,"1,74,74,596","7,058",328,"1,84,59,819"
Aventura,"1,74,68,742",-751,350,"1,74,71,920"
System Of A Down,"1,74,56,630","38,758",336,"1,81,30,029"
ManÃ¡,"1,74,55,399","-19,293",334,"1,80,38,073"
Daryl Hall & John Oates,"1,74,54,211","35,165",360,"1,74,54,211"
BeÃ©le,"1,74,30,193","58,869",362,"1,74,30,193"
blackbear,"1,73,65,114","-22,893",259,"1,99,62,853"
Justin Quiles,"1,73,64,884","-3,684",223,"2,14,67,956"
Little Mix,"1,72,98,704","6,054",287,"1,83,69,704"
Ãengo Flow,"1,72,90,081","5,978",207,"2,21,45,574"
Luis Miguel,"1,72,87,281","-71,894",309,"1,89,79,295"
Dean Lewis,"1,72,82,123","-30,236",266,"1,95,35,547"
De La Ghetto,"1,72,76,193","-36,724",238,"2,05,51,958"
YoungBoy Never Broke Again,"1,72,63,743","76,609",288,"1,90,51,130"
Baby Keem,"1,72,58,372","7,503",313,"1,90,03,131"
Alessia Cara,"1,71,90,344","27,606",320,"1,73,49,861"
PARTYNEXTDOOR,"1,71,82,482","26,823",291,"1,80,54,870"
Vishal Dadlani,"1,71,02,060","69,105",307,"1,88,68,957"
Niall Horan,"1,70,46,772","-37,431",129,"2,75,78,996"
Jason Mraz,"1,70,24,069","-32,684",341,"1,72,26,912"
G-Eazy,"1,70,13,957","65,527",344,"1,79,12,081"
Backstreet Boys,"1,69,72,687","14,853",349,"1,74,31,880"
Sonu Nigam,"1,69,57,534","-23,325",365,"1,71,80,089"
The Cranberries,"1,69,46,878","39,673",380,"1,69,46,878"
The Cure,"1,69,13,364","25,795",354,"1,71,97,307"
Chinmayi,"1,69,11,977","26,041",382,"1,69,11,977"
Lil Tjay,"1,68,85,557","-22,251",268,"1,95,48,091"
Atif Aslam,"1,68,66,865","1,763",344,"1,78,93,030"
Cris Mj,"1,68,61,487","-1,55,874",276,"1,90,79,138"
Steve Aoki,"1,68,59,565","-20,905",216,"2,16,06,912"
Mac DeMarco,"1,68,36,296","33,569",318,"1,81,45,084"
David Bowie,"1,68,21,498","25,801",317,"1,79,01,607"
Shania Twain,"1,68,09,895","-67,502",352,"1,76,82,454"
Emilia,"1,68,04,719","1,29,283",337,"1,81,24,895"
George Michael,"1,67,90,739","11,776",384,"1,67,90,739"
Imanbek,"1,67,87,217","-5,195",280,"1,86,69,813"
Dominic Fike,"1,67,81,477","-8,872",270,"2,08,06,994"
Libianca,"1,67,48,951","-1,06,620",254,"2,18,00,126"
The Script,"1,67,48,730","7,734",360,"1,67,48,730"
Russ,"1,67,01,888","59,483",365,"1,67,01,888"
George Ezra,"1,66,60,984","-47,048",291,"1,83,64,138"
Nile Rodgers,"1,66,56,408","-70,929",277,"2,01,02,441"
Jasleen Royal,"1,66,51,077","2,67,477",399,"1,66,51,077"
FMK,"1,66,40,237","21,536",356,"1,75,77,323"
Mohit Chauhan,"1,66,32,516","12,895",325,"1,84,91,100"
Zedd,"1,65,92,427","-22,999",317,"1,68,64,646"
Gucci Mane,"1,65,53,573","1,207",401,"1,65,53,573"
Bryson Tiller,"1,65,51,017","31,078",319,"1,69,65,435"
Luis R Conriquez,"1,65,14,511",-995,323,"1,86,05,177"
Prince Royce,"1,64,91,435","7,869",339,"1,76,08,087"
Mc Gw,"1,64,88,133","2,54,568",407,"1,64,88,133"
Eden MuÃ±oz,"1,64,85,789","79,908",408,"1,64,85,789"
Lynyrd Skynyrd,"1,64,56,350","22,202",389,"1,65,72,873"
NF,"1,64,55,308","29,810",275,"1,94,47,227"
LUDMILLA,"1,63,91,761","4,530",407,"1,63,91,761"
Quavo,"1,63,03,771","-5,022",347,"1,71,55,421"
Bill Withers,"1,62,61,729","74,148",413,"1,62,61,729"
Sachet Tandon,"1,62,27,051","49,521",363,"1,72,57,983"
Bruce Springsteen,"1,62,26,643","-3,525",344,"1,78,69,969"
AP Dhillon,"1,62,10,854","1,15,404",416,"1,62,10,854"
Ice Cube,"1,61,95,049","-26,247",325,"1,82,90,286"
Lil Tecca,"1,61,38,802","84,030",418,"1,61,38,802"
LIT killah,"1,61,01,675","38,469",383,"1,67,70,036"
Kungs,"1,60,63,291","-72,315",401,"1,64,42,885"
Jax Jones,"1,60,51,684","-25,656",354,"1,72,02,952"
